Fri. Mar. 23, 2012             LANDSAT 5                 Time: 13:11
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L3629777            Path/Row: 119 / 038

L0R Reference Image: L51BJC1010144020100_HDF.120831431
Acquisition Date: May 24, 2010

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
119   038   2001-07-26


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1190380160   31.394486  121.000940    14.902       4.538    -0.046     4.460     0.822
1190380162   31.734334  120.882229    11.851      -0.423     3.230    -1.034     3.089
1190380166   31.962159  120.414937    12.423       4.668     6.019     3.433     6.802
1190380167   31.850736  121.201976    13.228      -0.221     0.707    -0.355     0.651
1190380171   31.856074  120.171943    34.576      -5.640    -1.635    -5.225    -2.684
1190380174   31.602349  119.486900     6.761      -2.362     1.124    -2.532     0.654
1190380176   31.834752  120.469518    15.439      -4.660     3.767    -5.296     2.808
1190380183   31.743407  120.264963    13.988       3.980    -2.047     4.300    -1.250
1190380188   31.502280  119.606813     7.176       2.333     0.967     2.110     1.396
1190380190   31.311392  119.897537     8.659      -0.724    -6.643     0.561    -6.663
1190380192   31.255878  120.616751    11.144      -1.135     0.524    -1.216     0.297
1190380194   31.246537  121.131631    15.731      -6.047    -3.277    -5.313    -4.374
1190380195   31.122195  120.911991    15.769       3.626     2.302     3.117     2.952
1190380197   31.438690  119.730245     7.647       0.661     3.084     0.062     3.156
1190380198   32.268897  119.757127     9.392       2.798     3.168     2.146     3.647
1190380199   31.665295  120.345067    13.052      -3.549     1.171    -3.709     0.471
1190380201   31.811017  120.701456    11.167       2.995    -4.110     3.724    -3.463
1190380205   31.497258  120.449923    14.224      -2.618    -0.797    -2.419    -1.283
1190380206   31.975809  120.873208    11.821      -3.364    -1.996    -2.922    -2.604
1190380208   31.706612  120.105612     8.894      -2.007    -5.319    -0.953    -5.608
1190380209   32.507482  119.898274     6.054      -0.290     6.841    -1.591     6.665
1190380211   31.519359  120.528281    16.248      -2.764    -0.009    -2.713    -0.538
1190380212   31.172437  120.640558    12.305      -5.105     0.974    -5.199    -0.021
1190380214   31.589167  120.327003    11.388       3.003    -3.790     3.674    -3.148
1190380215   31.925708  120.069584    11.700      -1.437    -0.598    -1.295    -0.862
1190380216   31.312454  120.930182    11.782      -5.428     1.726    -5.660     0.656
1190380217   31.785456  120.664712    14.875      -6.033    -1.464    -5.645    -2.591
1190380218   31.310466  119.635453     7.799       0.891     5.917    -0.254     5.983
1190380219   31.577055  120.266043    25.637       2.142    -2.013     2.489    -1.568
1190380221   31.540075  120.695803    12.823       0.752     0.514     0.638     0.648
1190380222   31.668473  120.165944     8.953       4.528    -5.016     5.407    -4.061
1190380223   31.414242  120.606445    11.856      -0.753    -0.166    -0.709    -0.308
1190380224   31.384898  120.976224    12.177       3.019    -0.921     3.136    -0.327
1190380228   32.317642  119.844888    11.160      -2.466     4.457    -3.272     3.908
1190380229   31.745681  120.005316     8.644      -4.209     6.395    -5.355     5.477
1190380233   31.700143  121.010553    14.450       2.619     0.802     2.414     1.287
1190380235   31.276612  119.623430     9.298      -1.124     0.013    -1.103    -0.202
1190380236   31.821069  120.673955    10.473       1.138     1.002     0.925     1.201
1190380239   31.602833  120.257071    12.411       1.057     0.716     0.902     0.904
1190380240   31.436773  119.836939     9.330       1.004     1.566     0.688     1.730
1190380244   31.572709  120.544887    11.047      -1.935    -2.498    -1.423    -2.823
1190380245   31.189462  120.744948    14.293       3.360    -0.382     3.369     0.266
