Sat. Mar. 24, 2012             LANDSAT 5                 Time: 20:14
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L3637775            Path/Row: 119 / 039

L0R Reference Image: L51BJC1010144020100_HDF.120841803
Acquisition Date: May 24, 2010

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
119   039   2000-10-11


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1190390198   30.966843  120.657392    14.707       2.943    -3.382     3.384    -2.946
1190390201   29.789892  120.263035    44.182      -4.627     0.106    -4.599    -0.542
1190390204   30.247734  119.725273    42.765       0.358     5.859    -0.460     5.853
1190390208   30.862040  120.435826    13.987       2.875    -0.959     2.983    -0.553
1190390210   29.513639  120.649361    49.986       4.860    -0.149     4.838     0.535
1190390211   30.837802  120.243122     9.037       0.372     4.079    -0.195     4.095
1190390217   30.738264  120.110443    13.404      -0.343     2.267    -0.654     2.199
1190390219   30.823054  119.771804    14.283       0.770     6.642    -0.156     6.687
1190390225   30.032261  120.615085    18.170       0.914     0.344     0.859     0.469
1190390227   30.814382  120.805124    16.301       2.883    -4.522     3.484    -4.084
1190390232   29.663836  118.825593   138.911      -5.891     2.509    -6.182     1.662
1190390233   29.597788  119.065671   110.345      -2.430     3.751    -2.931     3.374
1190390236   30.707546  120.932671    13.722      -0.588     1.887    -0.843     1.790
1190390241   29.991694  120.494916    22.346       0.919     2.234     0.599     2.343
1190390242   30.885572  120.268881    10.392       2.336    -1.052     2.460    -0.720
1190390245   30.149206  120.450666    19.229       1.456     3.961     0.892     4.129
1190390246   31.191405  119.430626   147.664       3.143    -4.724     3.763    -4.247
1190390249   29.755089  119.097117   105.000       0.507     0.952     0.369     1.014
1190390250   29.903271  120.305228    34.205       1.953    -2.595     2.297    -2.298
